list2DMovies
list2DMovies
listAllCinemas
listAvailableShows
listAvailableMovies
listAvailablePlays
searchForMovie
searchForPlay
listMoviesWithGenre
listPlaysWithGenre
list3DMovies
list2DMovies
listAvailableMovies
2019.04.27 18:57:22listAvailableMovies -> 2019.04.27 18:59:25listAvailableMovies -> 2019.04.27 19:00:03listAvailableMovies -> 2019.04.27 19:01:14
listAvailableMovies -> 2019.04.27 19:01:25
searchForMovie , 2019.04.27 19:06:41
searchForPlay , 2019.04.27 19:06:56
listAllCinemas , 2019.05.03 11:26:31
listMoviesWithGenre , 2019.05.03 11:26:40
listMoviesWithGenre , 2019.05.03 11:26:53
listMoviesWithGenre , 2019.05.03 11:27:27
listPlaysWithGenre , 2019.05.03 11:27:38
list3DMovies , 2019.05.03 11:27:52
list2DMovies , 2019.05.03 11:28:34
listAllCinemas , 2019.05.03 11:29:15
listAvailableShows , 2019.05.03 11:29:15
listAvailableMovies , 2019.05.03 11:29:15
listAvailablePlays , 2019.05.03 11:29:15
searchForMovie , 2019.05.03 11:29:15
searchForPlay , 2019.05.03 11:29:15
listMoviesWithGenre , 2019.05.03 11:29:15
listPlaysWithGenre , 2019.05.03 11:29:15
list3DMovies , 2019.05.03 11:29:15
list2DMovies , 2019.05.03 11:29:15
listAllCinemas , 2019.06.01 19:37:55
listAvailableShows , 2019.06.01 19:37:55
listAvailableMovies , 2019.06.01 19:37:55
listAvailablePlays , 2019.06.01 19:37:55
searchForMovie , 2019.06.01 19:37:55
searchForPlay , 2019.06.01 19:37:55
listMoviesWithGenre , 2019.06.01 19:37:55
listPlaysWithGenre , 2019.06.01 19:37:55
list3DMovies , 2019.06.01 19:37:55
list2DMovies , 2019.06.01 19:37:55
list2DMovies , 2019.06.03 20:43:15
listAvailableMovies , 2019.06.03 21:50:33
listAvailableMovies , 2019.06.03 21:50:40
